Manufacturer,Model,Engine Size (L),Fuel Type,Year of Manufacture,Mileage,Price (£)
Mercedes-Benz,Cruze,1.4184753523913818,Electric,2013,61837,34792
Toyota,A4,4.492330457086512,Electric,2003,128993,27129
Audi,C-Class,4.739374656167753,Electric,2000,81362,29141
Nissan,Model 3,3.1284228624997366,Petrol,2011,168204,24731
Mercedes-Benz,Golf,1.6502786076548714,Diesel,2006,119405,27493
Volkswagen,A4,1.0718083600561585,Petrol,2021,39042,48672
Chevrolet,Model 3,2.561439943682666,Hybrid,2016,125688,7353
BMW,Fiesta,1.9899810582157302,Petrol,2017,42720,16967
Mercedes-Benz,Civic,3.928227262704905,Electric,2007,20045,44528
Chevrolet,Cruze,3.9547818276312086,Electric,2013,156771,18713
Tesla,Golf,1.077196350791938,Electric,2007,104018,15042
Volkswagen,A4,2.0908774678956807,Diesel,2000,173585,39625
Chevrolet,A4,4.650419085449433,Diesel,2006,178755,44913
Nissan,C-Class,1.7707861723198848,Petrol,2013,174943,33005
Honda,Fiesta,3.4839015476814987,Electric,2004,11369,42344
Mercedes-Benz,Model 3,2.675825671315357,Electric,2003,173706,13434
Toyota,Fiesta,2.8370954768735306,Diesel,2001,2687,29800
BMW,Golf,2.0523829062742496,Hybrid,2010,58110,44784
Chevrolet,Altima,2.4257132439925417,Diesel,2001,60048,16666
Nissan,Fiesta,3.679236277831635,Hybrid,2005,100029,1282
Mercedes-Benz,3 Series,2.2635923946172762,Diesel,2020,151833,49646
Chevrolet,Civic,3.01701433092419,Diesel,2009,132797,38379
Chevrolet,3 Series,3.279232107483419,Hybrid,2017,20275,4959
Volkswagen,Golf,2.5309371935578646,Electric,2015,96344,26846
Chevrolet,A4,1.7763228683030792,Hybrid,2007,97167,4429
Volkswagen,Cruze,3.715583513362613,Electric,2015,124401,11455
Honda,Corolla,1.0854090894829622,Electric,2004,110057,35440
Audi,Model 3,1.982665712225082,Diesel,2011,127674,9858
BMW,Civic,3.022397020447936,Diesel,2018,13603,2560
Nissan,Model 3,1.567227262932417,Petrol,2002,78393,32765
Nissan,A4,2.259533298723753,Diesel,2018,156634,15681
Toyota,Fiesta,1.7257567417656983,Hybrid,2007,82108,31740
BMW,Golf,4.257103883388306,Petrol,2016,56223,25835
Audi,Altima,4.117661457464017,Hybrid,2010,135062,27303
Chevrolet,Golf,1.5904602914881525,Hybrid,2002,36955,40016
Honda,C-Class,3.4525724155625555,Hybrid,2007,69137,40656
Nissan,3 Series,3.01704980625318,Electric,2014,6465,41809
Mercedes-Benz,3 Series,1.2422801013297797,Hybrid,2021,96676,36589
Nissan,Cruze,4.3690181853984384,Hybrid,2007,181625,9435
Volkswagen,Fiesta,4.421982716270932,Diesel,2001,191659,28629
Tesla,C-Class,1.2025035138195124,Hybrid,2021,126781,25860
Mercedes-Benz,A4,3.464873830548576,Diesel,2013,192595,24969
Honda,Civic,2.8675065503394186,Electric,2012,99977,13478
Honda,Fiesta,3.921619456331746,Electric,2006,43833,10826
Audi,A4,2.6291451647148887,Diesel,2008,43464,12273
Toyota,Golf,3.7902037407704414,Petrol,2013,120624,39076
Volkswagen,A4,1.3316278665860883,Hybrid,2011,47084,1166
Honda,Fiesta,2.34530724653512,Petrol,2015,35536,4500
Ford,Cruze,3.3731892894981743,Petrol,2000,25417,18082
Ford,Model 3,1.7016802094215397,Petrol,2012,35726,24096
Tesla,C-Class,2.6190623099592587,Hybrid,2016,75691,27279
Tesla,Model 3,2.7194496930319416,Hybrid,2006,28123,40425
Nissan,A4,1.5017798584646909,Petrol,2021,180595,27823
Audi,Cruze,2.286836646526826,Hybrid,2018,169358,6684
Nissan,3 Series,3.637880403851986,Hybrid,2017,27336,30857
Ford,Altima,2.4685362977264984,Diesel,2005,115834,9833
Audi,3 Series,3.544215749395342,Diesel,2012,150847,20805
Ford,Corolla,4.867807801571589,Electric,2010,181501,33684
Nissan,Civic,2.2543229494828307,Hybrid,2010,153243,18767
Tesla,Model 3,2.5475231211272567,Hybrid,2002,7010,20455
Nissan,A4,3.8083892379041684,Electric,2007,35959,3656
BMW,Altima,1.9284332979343421,Electric,2009,192748,34462
Tesla,Corolla,1.7132373039808861,Petrol,2017,6071,7098
Honda,3 Series,1.3793121055076591,Diesel,2004,175696,25869
Mercedes-Benz,Civic,2.9050756879749486,Electric,2016,64391,31759
Tesla,3 Series,4.534568684955408,Hybrid,2008,55979,48854
Toyota,Golf,4.574176809280242,Diesel,2008,192495,21051
Audi,Corolla,1.9317039957024522,Petrol,2017,64994,14151
Nissan,Model 3,1.685576231729955,Electric,2021,173545,32530
Nissan,Fiesta,1.298850101335847,Hybrid,2012,106231,43367
Volkswagen,Civic,2.512565810739092,Diesel,2006,199830,5308
Tesla,C-Class,1.9004780933757375,Hybrid,2015,13885,12500
BMW,Corolla,4.112525212616946,Diesel,2019,183206,40516
BMW,Golf,2.7717473859859036,Petrol,2022,135112,32006
Tesla,Model 3,4.451366963707361,Diesel,2015,15245,24765
Chevrolet,Civic,1.602160087600101,Petrol,2007,180614,45388
Toyota,Civic,4.819940113940034,Petrol,2001,136551,18308
Honda,A4,1.9128675399706894,Hybrid,2018,18041,12877
Mercedes-Benz,Model 3,1.4622366220859577,Diesel,2017,68229,49269
BMW,Civic,2.7016523006173014,Hybrid,2020,91205,13538
Nissan,Altima,4.655104982555281,Diesel,2022,125355,25218
Ford,Fiesta,2.3305868590207344,Petrol,2000,131377,3137
Toyota,Cruze,1.1856106332074035,Hybrid,2020,139440,24247
Volkswagen,A4,2.040935155162633,Electric,2022,62417,21901
Nissan,Model 3,2.821857567528517,Hybrid,2004,76374,8586
Audi,3 Series,1.9834836912103655,Electric,2005,58012,12989
Tesla,Civic,4.373662444089163,Hybrid,2012,180520,47887
Nissan,Altima,4.972990267384789,Diesel,2003,28611,9697
Ford,Model 3,4.7754281869460975,Electric,2014,166912,25615
Volkswagen,3 Series,2.2767168693187334,Petrol,2019,28843,45897
Volkswagen,Model 3,2.684503378509929,Electric,2009,144920,17577
Audi,Cruze,3.7677632587539196,Diesel,2017,134882,3702
BMW,Fiesta,4.934579571043061,Diesel,2017,80214,22170
Mercedes-Benz,Golf,4.8919784362083885,Diesel,2007,141431,38434
Tesla,Altima,1.914489153735615,Electric,2010,199539,24147
Ford,Corolla,4.990022125705343,Electric,2013,46540,49363
Mercedes-Benz,Civic,3.9912257875829917,Diesel,2011,157028,2091
Mercedes-Benz,Model 3,1.404733514221972,Hybrid,2014,132009,23753
Chevrolet,Cruze,1.9612376045441602,Hybrid,2016,5666,12977
Ford,A4,3.7974829156133025,Hybrid,2006,21494,6297
Nissan,Model 3,3.6579436992634866,Diesel,2012,37808,14482
Mercedes-Benz,A4,1.75782133710306,Diesel,2001,57928,31411
BMW,Altima,1.2093792566789405,Diesel,2021,170102,31952
Chevrolet,3 Series,1.6319362936355883,Electric,2008,69036,17768
Nissan,C-Class,4.940345306776905,Hybrid,2008,27775,17553
BMW,C-Class,3.3612096751157687,Electric,2017,122926,48436
Volkswagen,Altima,2.0889942555626426,Hybrid,2017,81733,48386
BMW,Fiesta,4.75900470134469,Electric,2009,197401,10718
Volkswagen,Altima,1.6296673258551881,Electric,2007,71184,18191
Volkswagen,Golf,1.1747309098853478,Petrol,2020,160273,9610
Mercedes-Benz,Golf,3.843191824270483,Petrol,2021,199489,42140
Honda,Altima,1.3528374036785658,Hybrid,2010,169263,40861
Ford,Model 3,4.73846623284302,Petrol,2017,6913,14252
Chevrolet,Corolla,1.1622307024194414,Electric,2003,14107,37904
Ford,Cruze,3.2809635565289543,Diesel,2006,86943,41096
BMW,3 Series,2.065381539389041,Diesel,2011,11339,15030
Chevrolet,Fiesta,2.4457242241701906,Petrol,2006,156491,8674
Ford,Model 3,1.597053938819871,Electric,2014,179710,44405
Volkswagen,C-Class,2.826516147481213,Diesel,2019,152677,24887
Toyota,Model 3,1.6721967545365994,Diesel,2013,65168,22124
Mercedes-Benz,C-Class,3.6732731176822235,Electric,2022,146274,16843
BMW,Civic,2.1106165331221,Diesel,2011,187158,25003
Nissan,Corolla,1.4318163445508119,Electric,2009,183534,16717
Volkswagen,Civic,1.4175257161022312,Petrol,2003,22290,20270
Audi,Altima,3.103513496602052,Electric,2006,181109,49230
Audi,Corolla,3.224456761175921,Petrol,2014,120638,37069
Toyota,Civic,4.271547056456962,Hybrid,2012,63592,13041
BMW,Golf,2.5361785809186994,Electric,2015,157540,20369
Tesla,Model 3,4.872823012415596,Diesel,2007,10591,46723
Volkswagen,Altima,3.5383815463999597,Hybrid,2010,80779,38004
Nissan,Civic,1.5528097887280348,Electric,2020,132031,23077
Audi,Golf,1.7657345021140594,Hybrid,2000,32084,1294
Toyota,Model 3,4.1306833877666795,Diesel,2014,119216,34688
Ford,3 Series,1.1574845351786816,Electric,2017,58497,28249
BMW,Model 3,1.1834529199787753,Hybrid,2009,157126,15546
Mercedes-Benz,3 Series,2.8227356824484495,Electric,2019,90280,13262
BMW,Cruze,3.02090349324696,Electric,2011,85243,34330
Chevrolet,Fiesta,1.1364524259250186,Diesel,2018,175934,21244
Toyota,3 Series,4.971280615921054,Hybrid,2022,181878,24964
Volkswagen,Model 3,3.5779585007442796,Diesel,2017,85843,6268
Mercedes-Benz,Fiesta,4.063833429721788,Hybrid,2015,174186,43246
Mercedes-Benz,C-Class,3.015076613581865,Hybrid,2018,17828,29965
BMW,A4,1.0769780379389031,Diesel,2020,189597,5468
Volkswagen,Cruze,1.9343962538158919,Diesel,2022,135370,48618
Honda,Civic,4.51851013921589,Hybrid,2005,199950,43713
Nissan,Civic,2.7576394557245267,Diesel,2013,168339,25988
BMW,Cruze,3.6133302063779564,Hybrid,2010,92555,41517
Honda,C-Class,2.230295541323537,Diesel,2017,10614,48928
Tesla,3 Series,2.474190804887822,Petrol,2009,15755,38964
Ford,Golf,1.3866399706839845,Petrol,2016,185430,26784
Tesla,A4,3.905433745510689,Hybrid,2016,8085,10575
Ford,3 Series,4.9102817752004135,Hybrid,2002,52933,32794
Toyota,Model 3,3.504982455148417,Electric,2017,135019,29200
Volkswagen,Civic,4.575643264427147,Electric,2022,71969,46452
Volkswagen,Civic,3.331733413042022,Electric,2004,130757,21806
Tesla,C-Class,4.709392531539401,Diesel,2018,194246,41925
Volkswagen,Golf,4.139858275635692,Electric,2007,146200,29096
Ford,Fiesta,4.600194300093758,Electric,2015,195629,2212
Chevrolet,Civic,3.2881136217012554,Hybrid,2021,39342,25692
BMW,Golf,1.1949846805498976,Hybrid,2002,127442,43499
Tesla,A4,3.7828443450078018,Electric,2018,137447,6717
Mercedes-Benz,Altima,2.183335220317199,Electric,2014,150455,31726
Ford,Civic,2.254891190074276,Petrol,2015,8876,14573
Toyota,A4,1.63096051959175,Hybrid,2014,88385,15322
Nissan,Civic,4.359358239117651,Petrol,2009,69747,11399
Toyota,C-Class,4.523883813255239,Electric,2005,38558,39826
BMW,Golf,2.9022960069622625,Electric,2003,155839,39226
Mercedes-Benz,Altima,3.1395558980701153,Diesel,2021,35612,27212
Volkswagen,Model 3,3.1289381608199367,Petrol,2009,78383,40208
Nissan,C-Class,2.198650724620703,Petrol,2021,125235,17790
Volkswagen,3 Series,4.435594231183318,Petrol,2015,94792,31584
Chevrolet,Altima,4.742728045878237,Hybrid,2004,85425,8814
Toyota,Model 3,4.49457462454191,Petrol,2002,65678,35852
Nissan,Model 3,3.799465594967858,Electric,2003,141259,46383
Volkswagen,Altima,2.920582464313395,Diesel,2020,77251,12288
Chevrolet,Fiesta,2.693622425893156,Electric,2010,103632,34564
Nissan,Cruze,1.8063469153145082,Petrol,2015,96263,29461
Mercedes-Benz,Golf,4.142274680741721,Diesel,2011,100843,19288
Honda,3 Series,3.5055497323356706,Hybrid,2002,72332,30730
Toyota,Cruze,1.0162543552413315,Diesel,2017,51199,17576
Honda,Golf,2.277615693028627,Electric,2004,32648,6581
Chevrolet,Fiesta,1.4884867316063617,Hybrid,2011,184651,13294
Mercedes-Benz,Altima,2.5537540430318555,Diesel,2017,105463,22241
